build_failed,gh_is_pr,git_prev_commit_resolution_status,gh_team_size,git_num_all_built_commits,gh_num_commit_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,year_of_start,month_of_start,day_of_start,hour_of_start,elapsed_days_last_build,same_committer,proj_fail_rate_history,proj_fail_rate_recent,comm_fail_rate_history,comm_fail_rate_recent,comm_avg_experience,totalNumberOfRevisions,no_config_edited,num_files_edited,num_distinct_authors,prev_build_result,day_week
0,1,1,52,3,0,282,0,6,6,0,0,0,4,2,0,0,17090,397.5424225,32.88472791,57.92861322,0,2013,1,1,1,2,0,0,0,0,0,0,54,0,18,1,0,3
0,0,1,47,1,0,0,0,0,0,1,0,0,0,0,1,3,10521,454.8046764,40.11025568,71.76123943,1,2013,1,29,19,0,0,1,1,1,1,1,1,1,1,1,0,3
0,0,1,47,1,0,0,0,0,0,1,0,0,0,0,1,4,10521,454.8046764,40.11025568,71.76123943,1,2013,1,29,19,0,1,0.5,0.5,0.5,0.5,2,1,1,1,1,0,3
0,0,1,47,5,0,140,29,0,0,13,0,0,13,0,0,300,10530,456.1253561,40.17094017,71.88983856,1,2013,1,30,19,1,1,0.33333334,0.33333334,0.33333334,0.33333334,3,19,0,15,1,0,4
1,0,2,47,1,0,2,0,0,0,1,0,0,1,0,0,22,10560,455.2083333,40.15151515,71.78030303,1,2013,1,31,16,-1,0,0,0,0,0,0,10849,32,1367,32,0,5
1,0,1,47,1,0,26,0,0,0,3,0,0,3,0,0,45,10530,456.1253561,40.17094017,71.88983856,1,2013,1,31,16,1,1,0.25,0.25,0.25,0.25,4,3,0,3,1,0,5
1,0,1,47,4,0,47,0,0,0,4,0,0,4,0,0,14,10539,455.7358383,40.13663535,71.82844672,1,2013,1,31,16,0,1,0.4,0.4,0.4,0.4,5,15,0,7,1,1,5
1,0,1,47,1,0,19,5,0,0,4,0,0,3,0,1,267,10546,455.8126304,40.20481699,71.87559264,1,2013,1,31,16,0,1,0.5,0.4,0.5,0.4,6,4,1,4,1,1,5
1,0,1,47,2,0,76,0,0,0,2,0,0,2,0,0,254,10548,455.726204,40.19719378,71.86196435,1,2013,1,31,16,0,1,0.5714286,0.4,0.5714286,0.4,7,2,0,2,1,1,5
1,0,1,47,1,0,9,0,0,0,1,0,0,1,0,0,7,10553,455.5102814,40.17814839,71.82791623,1,2013,1,31,16,0,1,0.625,0.4,0.625,0.4,8,1,0,1,1,1,5
1,0,1,47,1,0,75,0,0,0,3,0,0,3,0,0,471,10560,455.2083333,40.15151515,71.78030303,1,2013,1,31,16,0,1,0.6666667,0.4,0.6666667,0.4,9,3,0,3,1,1,5
1,0,1,47,1,0,0,0,0,0,1,0,0,0,0,1,242,10560,455.2083333,40.15151515,71.78030303,1,2013,1,31,16,0,1,0.7,0.4,0.7,0.4,10,1,1,1,1,1,5
1,0,1,47,1,0,4,0,0,0,1,0,0,1,0,0,21,10560,455.2083333,40.15151515,71.78030303,1,2013,1,31,16,0,1,0.72727275,0.4,0.72727275,0.4,11,1,0,1,1,1,5
1,0,1,47,1,0,10,0,0,0,2,0,0,2,0,0,485,10562,455.122136,40.14391214,71.76671085,1,2013,1,31,16,0,0,1,1,1,1,1,2,0,2,1,1,5
1,0,1,47,1,0,9,0,0,0,2,0,0,2,0,0,465,10564,455.0359712,40.136312,71.75312382,1,2013,1,31,16,0,1,1,1,1,1,2,2,0,2,1,1,5
1,0,1,47,1,0,2,0,0,0,1,0,0,1,0,0,7,10564,455.0359712,40.136312,71.75312382,1,2013,1,31,16,0,1,1,1,1,1,3,1,0,1,1,1,5
1,0,1,47,1,0,0,0,0,0,1,0,0,0,0,1,243,10564,455.0359712,40.136312,71.75312382,1,2013,1,31,16,0,1,1,1,1,1,4,1,1,1,1,1,5
1,0,1,47,1,0,63,0,1,0,8,0,0,8,0,1,672,10607,453.1912888,39.97360234,71.46224192,1,2013,1,31,16,0,1,1,1,1,1,5,9,1,9,1,1,5
1,0,1,47,1,0,13,0,0,0,2,0,0,2,0,0,470,10613,452.9350796,39.95100349,71.42184114,1,2013,1,31,16,0,1,1,1,1,1,6,2,0,2,1,1,5
1,0,1,47,1,0,72,0,1,1,3,0,0,5,0,0,503,10619,452.67916,39.92843017,71.38148602,1,2013,1,31,16,0,1,1,1,1,1,7,4,0,4,1,1,5
1,0,1,47,1,0,42,0,0,0,8,0,0,7,0,1,289,10630,452.2107244,39.88711195,71.30761994,1,2013,1,31,16,0,1,1,1,1,1,8,8,1,8,1,1,5
0,0,1,47,1,0,2,0,0,0,1,0,0,1,0,0,37,10630,452.2107244,39.88711195,71.30761994,1,2013,1,31,19,0,1,1,1,1,1,9,1,0,1,1,1,5
0,0,1,47,1,0,16,0,1,0,1,0,0,2,0,0,241,10639,451.8281793,39.85336968,71.24729768,1,2013,2,1,2,1,1,0.9,1,0.9,1,10,2,0,2,1,0,6
0,0,1,47,1,0,7,0,0,0,1,0,0,1,0,0,21,10643,451.658367,39.83839143,71.22052053,1,2013,2,1,2,0,1,0.8181818,1,0.8181818,1,11,1,0,1,1,0,6
0,0,1,47,3,0,5,0,0,0,3,0,0,3,0,0,34,10646,451.5310915,39.82716513,71.20045087,1,2013,2,1,4,0,1,0.75,1,0.75,1,12,3,0,3,1,0,6
